Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Brunei Darussalam,BRN,"Population ages 0-14, total",SP.POP.0014.TO,38953,41848,44608,47098,49407,51505,53300,54975,56559,58046,58942,59684,61132,62766,64148,65342,66439,67539,68759,70125,71599,73136,74434,75542,76807,78246,79839,81656,83654,85716,87834,90305,92665,94429,95855,96919,97676,98260,98737,98999,98956,98662,98178,97513,96676,95697,94604,94718,96178,97785,99435,100608,100883,100632,100170,99546,98923,98331,97740,97153,96637,96393,96456,96491
Bhutan,BTN,"Population ages 0-14, total",SP.POP.0014.TO,94691,97106,99639,102511,105637,108944,112541,116350,120375,124620,129084,133762,138659,143781,149114,154669,160459,166470,172679,179052,185552,192157,198840,205592,212394,219215,226070,232939,239745,246456,252728,256624,246235,235040,233321,228549,226444,227662,228612,229724,230364,230003,228696,226449,223251,219900,217080,214337,211489,208809,206433,204442,202982,201984,201021,199631,197910,194765,189958,184808,179977,175795,172105,168770
Botswana,BWA,"Population ages 0-14, total",SP.POP.0014.TO,232533,240982,249769,258911,267475,273178,276739,280231,283653,286992,290297,296040,305574,317293,330119,343937,359115,375595,394529,414748,431873,448394,466388,483756,500922,517955,534964,551444,565818,578098,589382,600007,610400,619932,627485,632926,636435,638547,640235,641928,643829,645737,646750,647503,649329,652717,657873,664536,672452,681668,692787,705533,720412,735414,747442,756830,763967,769293,773196,775879,777770,782520,791092,800654
Central African Republic,CAF,"Population ages 0-14, total",SP.POP.0014.TO,689067,707200,726091,746166,765762,783290,800582,819189,839255,860477,882227,904139,926036,947945,969920,992023,1007306,1016116,1025869,1036692,1048590,1061583,1075466,1090020,1105586,1122453,1140740,1161107,1187747,1228210,1278979,1331032,1382478,1432713,1481368,1526638,1570406,1614410,1657305,1699909,1742392,1780014,1815783,1853614,1891588,1932254,1975009,2019825,2067647,2065868,2064412,2114303,2163417,2209291,2240118,2268672,2309663,2350024,2392861,2423900,2458595,2505098,2509012,2533262
Canada,CAN,"Population ages 0-14, total",SP.POP.0014.TO,6044979,6195981,6319062,6422614,6504983,6558393,6588218,6588526,6562484,6511122,6434953,6443489,6344041,6244459,6151890,6064169,5969760,5869340,5759148,5653524,5584236,5543463,5531424,5525823,5519579,5504347,5497213,5529945,5578249,5661275,5736182,5804904,5874677,5929147,5964127,5981228,5989226,5985367,5962915,5929109,5893763,5865073,5838863,5802193,5759801,5709300,5665550,5635516,5627068,5628544,5632381,5639181,5667832,5708182,5754821,5795797,5857782,5910017,5963126,6012734,6037542,6020135,6054208,6136779
Central Europe and the Baltics,CEB,"Population ages 0-14, total",SP.POP.0014.TO,26446663,26583922,26518720,26362645,26151938,25822451,25432334,25169347,24969845,24728324,24400022,24092625,23932107,23868885,23958201,24186061,24489099,24816370,25094793,25358082,25647873,25938035,26108630,26136109,26161787,26206854,26240574,26226625,26121314,25856607,25451826,24947601,24397141,23884630,23364005,22791879,22205211,21635409,21069625,20492529,19803572,19074217,18379002,17787373,17252029,16788248,16405993,16089625,15869462,15715283,15639105,15649354,15605440,15566608,15551616,15552231,15578514,15639500,15714558,15782799,15798060,15582752,15446417,15260501
Switzerland,CHE,"Population ages 0-14, total",SP.POP.0014.TO,1280469,1304321,1343427,1372684,1394708,1412630,1429266,1443507,1454265,1461605,1469037,1474626,1471843,1462366,1448075,1421915,1383460,1345742,1311411,1277511,1247440,1222102,1199165,1177265,1157324,1141108,1129349,1123419,1124984,1132216,1147883,1169599,1192134,1214399,1230892,1242277,1248839,1249535,1248034,1248270,1248155,1236469,1224155,1218601,1210361,1200304,1188942,1180598,1179156,1181408,1185872,1192415,1197295,1206141,1218368,1230630,1245633,1261734,1276075,1288971,1300208,1312559,1322744,1334191
Channel Islands,CHI,"Population ages 0-14, total",SP.POP.0014.TO,23795,23973,24094,24265,24462,24698,24988,25325,25699,26089,26525,26958,27179,27109,26801,26270,25738,25325,24877,24354,23828,23397,23072,22819,22605,22400,22307,22366,22478,22631,22915,23345,23791,24170,24468,24627,24808,25075,25270,25364,25351,25404,25532,25584,25553,25433,25266,25118,24985,24854,24758,24787,24962,25155,25284,25273,25162,25136,25116,24996,24842,24666,24431,24141
Chile,CHL,"Population ages 0-14, total",SP.POP.0014.TO,3234769,3305518,3371291,3431171,3485912,3535934,3582274,3626303,3667064,3703916,3736381,3763151,3784566,3801484,3813723,3822083,3827926,3831874,3834196,3835182,3835799,3836713,3838450,3842442,3850009,3861858,3878771,3901232,3929003,3961822,3998887,4037849,4073476,4103892,4130557,4154144,4172847,4182561,4183480,4174841,4157102,4132126,4097021,4051409,3997792,3939027,3877665,3821408,3775327,3736516,3701398,3669251,3642839,3622174,3608472,3598561,3591225,3588546,3591265,3590541,3566677,3520932,3472141,3417559
China,CHN,"Population ages 0-14, total",SP.POP.0014.TO,269054992,263827782,266045269,276991522,287739558,296502786,305285181,311450604,317851681,326012084,333816122,341946893,348242655,354096449,361605898,368804315,374935158,375707177,368751996,360692104,354195380,348566285,345540721,341094498,334231779,328369976,324444963,323245388,323061438,323824537,326909014,329691956,330873479,331758129,331744817,330539662,328142588,323983224,319611945,315352021,309904806,302781287,293574069,284001093,274592024,264583041,256857390,252639232,249919148,248222097,247128288,246706491,247781022,249546544,251443220,252764749,254031463,256249115,257104510,256174134,253360711,248319073,241789776,234031297
